Organization Name,Direct Cost,Indirect Cost,Funding
STATE UNIVERSITY OF NEW YORK AT ALBANY,5431038,2288305,7562552
UNIV OF ARKANSAS FOR MED SCIS,26560473,9364984,38461140
UNIVERSITY OF MAINE ORONO,644652,147343,791995
"CARNEGIE INSTITUTION OF WASHINGTON, D.C.",2824317,1414495,4238812
"GENEFLUIDICS, INC.",0,0,989486
"VISIONARY PHARMACEUTICALS, INC.",0,0,232616
MEDICAL TECHNOLOGY AND PRACTICE PATTERNS,136833,32450,169283
BIOREALM,0,0,1000000
"CHEMISTRY RESEARCH SOLUTION, LLC",0,0,56496
UNIVERSITY OF OXFORD,1963695,114570,2078265
DELAWARE STATE UNIVERSITY,3120867,533009,3653876
MIT LINCOLN LABORATORY,235000,0,235000
RESEARCH INSTITUTE FOR TROPICAL MEDICINE,411244,24420,435664
"MODULATED IMAGING, INC.",0,0,735310
COLLEGE AT OSWEGO,250789,73762,324551
BIOHELIX CORPORATION,0,0,300000
STUDENT NATIONAL MEDICAL ASSOCIATION,65450,0,65450
"COHERA MEDICAL, INC.",0,0,731889
"HEARTWARE, INC.",0,0,1729014
KHON KAEN UNIVERSITY,320772,21743,342515
"VLP BIOTECH, INC.",0,0,982569
"AMERICAN AGING ASSOCIATION, INC.",46990,0,46990
FRANKLIN AND MARSHALL COLLEGE,225487,53003,278490
MIDDLE TENNESSEE STATE UNIVERSITY,190000,52896,242896
"CAKTUS CONSULTING GROUP, LLC",0,0,150000
ASSOCIATION OF SUBSPECIALTY PROFESSORS,71807,0,71807
"HIGH THROUGHPUT GENOMICS, INC.",0,0,1012004
"CHRISTIANA CARE HEALTH SERVICES, INC.",1891394,641607,2533001
UNIVERSITY OF PUERTO RICO AT HUMACAO,601325,47242,648567
UNIVERSITY OF LETHBRIDGE,46092,0,46092
UNIVERSITY OF GEORGIA,25134440,9606850,35892320
WEST MICHIGAN CANCER CENTER,501175,75677,576852
"APK ADVANCED MEDICAL TECHNOLOGIES, INC.",0,0,525746
MEMORIAL HOSPITAL OF RHODE ISLAND,993356,349393,1342749
"MOLECULAR SENSING, INC.",0,0,604575
TUBEROUS SCLEROSIS ALLIANCE,25500,0,25500
"MEE PRODUCTIONS, INC.",0,0,574591
ITHACA COLLEGE,94248,17235,111483
"AFFINITY THERAPEUTICS, LLC",0,0,199999
"GINKGO BIOWORKS, INC.",0,0,150000
VISITING NURSE SERVICE OF NEW YORK,116252,9300,125552
CENTRE FOR INFECTIOUS DISEASE RESEARCH,122839,9827,132666
"MZ DIAGNOSTICS, INC.",0,0,224697
METHODIST HOSPITAL RESEARCH INSTITUTE,10240053,3883845,11895351
INTERNATIONAL ASSOCIATION FIRE FIGHTERS,1316206,101558,1403950
KATHOLIEKE UNIVERSITEIT LEUVEN,308638,24691,333329
CHILDREN'S HOSPITAL CORPORATION,84837355,41170442,126812298
"XFIBRA, LLC",0,0,306899
UNIVERSITY OF WISCONSIN MILWAUKEE,4985513,1557595,6543108
"CRYSTAL BIOSCIENCE, INC.",0,0,775844
"CELDARA MEDICAL, LLC",0,0,3105914
UNIVERSITY OF NORTH CAROLINA CHARLOTTE,1752232,538997,2291229
TERATOLOGY SOCIETY,10000,0,10000
"SCARLESS LABORATORIES, INC.",0,0,199740
PALMER COLLEGE OF CHIROPRACTIC,565915,148090,714005
"KDH RESEARCH AND COMMUNICATION, INC.",0,0,1603794
UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,2184492,1079542,3023903
UNIVERSITY OF HONG KONG,47500,3800,51300
RADBOUD UNIVERSITY NIJMEGEN MED CTR,158463,12677,171140
"VIROGENICS, INC.",0,0,599968
BROWN UNIVERSITY,41393217,15494002,56210561
"AFFINERGY, LLC",0,0,3567504
"SAIC-FREDERICK, INC.",0,0,370006506
VISDEX CORPORATION,0,0,404061
"HEART IMAGING TECHNOLOGIES, LLC",0,0,1146007
CFD RESEARCH CORPORATION,0,0,1388327
SEIU EDUCATION AND SUPPORT FUND,627041,40129,667170
"CORTICOMETRICS, LLC",0,0,359391
"DALTON MEDICINAL CHEMISTRY, INC.",106056,8484,114540
"ONCOVIR, INC.",0,0,257382
"OREGON SOCIAL LEARNING CENTER, INC.",4477689,1853958,6331647
"ALBANY RESEARCH INSTITUTE, INC.",216992,45512,262504
UNIVERSITY OF PITTSBURGH,0,0,12082008
"BARRON ASSOCIATES, INC.",0,0,1722655
"MEDICASAFE, INC.",0,0,495460
"TRELLIS BIOSCIENCE, LLC",0,0,1000000
"TUMOREND, LLC",0,0,149043
"SIMQUEST , LLC",0,0,303634
"WITS HEALTH CONSORTIUM (PTY), LTD",9520951,757859,7980835
AGAVE BIOSYSTEMS,0,0,150000
CHILDREN'S HOSPITAL (NEW ORLEANS),50728,31198,81926
GENOMEX,0,0,182864
"OMNIOX, INC.",0,0,961000
UNIVERSITY OF NEBRASKA OMAHA,145329,48489,193818
ORPHAGEN PHARMACEUTICALS,0,0,224474
CARNEGIE-MELLON UNIVERSITY,15802087,5154311,20956398
MEDICAL RESEARCH COUNCIL OF SOUTH AFRICA,11897814,946030,8897465
AFRICA UNIVERSITY,28000,2240,30240
"PINNACLE TECHNOLOGY, INC",0,0,798601
"CRESTONE, INC.",0,0,1000000
"NEUROSCOUTING, LLC",0,0,168985
UNIVERSITY OF LOUISIANA AT LAFAYETTE,854112,330208,1184320
COLD SPRING HARBOR LABORATORY,18515626,13185734,31532003
FOUNDATION FOR AIDS RESEARCH,2664337,277268,2941605
DAHL NATURAL,0,0,493507
"ACCENTS ON HEALTH, INC.",0,0,474162
BOWDOIN COLLEGE,390458,11671,402129
OREGON LAW CENTER,412364,32989,445353
"INBIOS INTERNATIONAL, INC.",0,0,299699
QUEEN'S UNIVERSITY AT KINGSTON,1600022,83186,1683208
"INFINITE BIOMEDICAL TECHNOLOGIES, LLC",0,0,800000
INTELLIGENT FIBER OPTIC SYSTEMS CORP,0,0,494820
INTERNATIONAL CANNABINOID RES SOCIETY,25000,0,25000
AMERICAN PSYCHOSOMATIC SOCIETY (APS),15000,0,15000
SOUTH DAKOTA STATE UNIVERSITY,512851,163156,676007
METACLIPSE THERAPEUTICS CORPORATION,0,0,144759
UNIVERSITY OF THE DISTRICT OF COLUMBIA,401120,28613,429733
BRITISH COLUMBIA CANCER AGENCY,2414510,193159,2599576
"NEUROTREK, INC.",0,0,351977
NANOBIO CORPORATION,0,0,5516166
WASHINGTON STATE UNIVERSITY,14949735,5674993,20614749
VANDERBILT UNIVERSITY MED CTR,221880487,85785386,311110760
LEONARD CHESHIRE DISABILITY,33274,0,33274
BAYSTATE MEDICAL CENTER,618979,174207,1227196
BOYCE THOMPSON INST FOR PLANT RESEARCH,542083,182298,724381
NEW YORK BLOOD CENTER,4451568,1261713,5713281
TOLEDO COMMUNITY HOSPITAL ONCOLOGY PROG,711770,0,676878
"INTEZYNE TECHNOLOGIES, LLC",0,0,139587
"GLYCOBIA, INC.",0,0,497208
"IN VITRO STRATEGIES, LLC",0,0,64004
MARTINGALE RESEARCH CORPORATION,0,0,289453
ALABAMA STATE UNIVERSITY,335765,25703,361468
SRI INTERNATIONAL,8289918,5881003,42623685
"MICROTRANSPONDER, INC.",0,0,1441304
"NSABP FOUNDATION, INC.",10624498,1721411,9681783
"TROPHOGEN, INC.",0,0,1256020
"RETROVIROX, INC.",0,0,509908
"SPECTRUM UNLIMITED, INC.",634217,136981,771198
BIOELECTROMED CORPORATION,0,0,1141554
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,59132289,20696038,78061243
LAUREATE INSTITUTE FOR BRAIN RESEARCH,733502,244635,978137
UNIVERSITY OF MARYLAND BALT CO CAMPUS,5868983,1381923,7766787
"SOLIGENIX, INC.",977380,205250,3759193
"MEDCHEM PARTNERS, LLC",0,0,147729
FOODSOURCE LURE CORPORATION,0,0,1000000
GEORGE WASHINGTON UNIVERSITY,79079999,9889549,75697472
LONG ISLAND UNIVERSITY BROOKLYN CAMPUS,849167,95022,944189
SAGE BIONETWORKS,1325574,798935,2124509
H. LEE MOFFITT CANCER CTR & RES INST,20961109,10809981,31572367
"INTERNATIONAL EOSINOPHIL SOCIETY, INC.",22500,0,22500
"AKONNI BIOSYSTEMS, INC.",0,0,399504
RBHS-ROBERT WOOD JOHNSON MEDICAL SCHOOL,15830098,5463206,19919940
GOTEBORG UNIVERSITY,205800,16464,222264
"THERMAL GRADIENT, INC.",0,0,874355
NATIONAL OPINION RESEARCH CENTER,4522378,2007770,34574446
SEQUOIA FOUNDATION,47382,0,47382
CALIFORNIA STATE UNIVERSITY FULLERTON,2533049,366170,2895311
"BIOQUAL, INC.",0,0,23105
SEATTLE BIOMEDICAL RESEARCH INSTITUTE,10129813,5960684,21198581
GEORGETOWN UNIVERSITY,36321037,11242657,47890937
EMERSON COLLEGE,298747,104231,402978
"C-MOTION, INC.",0,0,149084
INNOVATIVE CHEMICAL/ENVIRONMENTAL TECH,0,0,291314
"SOCIAL AND SCIENTIFIC SYSTEMS,  INC.",0,0,22239420
"ZENALUX BIOMEDICAL, INC.",0,0,135392
WILLIAM BEAUMONT HOSPITAL RESEARCH INST,2035289,518870,2474159
"MASSTECH, INC.",0,0,150000
BANNER ALZHEIMER'S INSTITUTE,22280073,10980162,33260235
DAVIDSON COLLEGE,879728,219433,1099161
UNIVERSITY OF NEVADA RENO,12790267,4238424,17028691
"DMETRIX, INC.",0,0,958861
LA JOLLA BIOENGINEERING INSTITUTE,1063938,650612,1714550
MASSACHUSETTS EYE AND EAR INFIRMARY,14723605,5980452,20413920
COLLEGE OF HEALTH SCIS UNIV OF ZIMBABWE,3806996,304558,4111554
"ADAMAS PHARMACEUTICALS, INC.",75662,52963,128625
AMERICAN PSYCHOLOGICAL ASSOCIATION,262392,19419,281811
INTERNATIONAL SOCIETY/EXPER HEMATOLOGY,15000,0,15000
OASIS DIAGNOSTICS CORPORATION,0,0,733850
"AMERICAN CANCER SOCIETY, INC.",241947,32575,274522
EMINENT SERVICES CORPORATION,0,0,538955
"PROTEOVISTA, LLC",166000,42123,208123
"APDM, INC.",0,0,1040326
WHM CONSULTING,0,0,65500
"BIOMARKER STRATEGIES, LLC",0,0,1498569
"XINRAY SYSTEMS, INC.",0,0,1273428
GLOBAL HIV VACCINE ENTERPRISE,0,0,1077813
"TRANSGENEX NANOBIOTECH, INC.",0,0,299992
COLUMBIA UNIV NEW YORK MORNINGSIDE,28227244,12544788,40748387
"MAX BIOPHARMA, INC.",0,0,147188
CALVIN COLLEGE,300000,75870,375870
UNIVERSITY OF DAYTON,225720,98076,323796
FOUNDATION FOR RESEARCH DEVELOPMENT,243083,16517,259600
BRAIN BIO,0,0,237684
SAN DIEGO STATE UNIVERSITY,18865418,6362291,26533223
"TOTAL CHILD HEALTH, INC.",0,0,651686
"MYNOSYS CELLULAR DEVICES, INC.",0,0,858874
"MIDDLE PEAK MEDICAL, INC.",0,0,179124
FLORIDA HOSPITAL,916412,529973,1446385
BETH ISRAEL MEDICAL CTR (NEW YORK),590234,233268,823502
"WISEGENE, LLC",0,0,191342
"LUNA INNOVATIONS, INC.",0,0,1605514
"NEXGENIA, INC.",0,0,503079
"PRESAGE BIOSCIENCES, INC.",0,0,144717
UNIVERSITY OF ILLINOIS,92822021,38507923,133388035
"RIVANNA MEDICAL, LLC",0,0,210419
NATIONAL CENTER ON ADDICTION/SUB ABUSE,264726,80444,345170
"AMBRYX BIOTECHNOLOGY, INC.",0,0,217059
"APT THERAPEUTICS, INC.",0,0,866114
"SANOFI AVENTIS U S, INC.",2289628,0,2289628
LOYOLA UNIVERSITY CHICAGO,14362953,5113843,19451796
KENNESAW STATE UNIVERSITY,428000,151817,579817
GRAHAM JOHNSON,0,0,175000
"NURIX, INC.",0,0,300000
UNIVERSITY OF NORTHERN COLORADO,300000,93870,393870
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,42908758,15522393,58803452
UNIVERSITY OF HELSINKI,1940393,153833,2094226
"THERAPYX, INC.",0,0,1299998
"MIXAMO, INC.",0,0,245536
TEXAS A&M UNIVERSITY-KINGSVILLE,363863,126131,489994
"VIOCARE, INC.",0,0,149999
"PROTEOTECH, INC.",0,0,1059823
ASSN FOR THE STUDY & DEVE OF COMMUNITY,0,0,149952
GEORGE INSTITUTE CHINA,350659,26867,377526
SANDBOX LEARNING COMPANY,0,0,144884
UNIVERSITY OF GHANA,51535,4123,55658
DONNA L ROMERO,0,0,49000
"HARVARD PILGRIM HEALTH CARE, INC.",3766406,1200558,4966964
SHAW UNIVERSITY,1098558,303078,403212
"INNOSENSE, LLC",0,0,249999
ARADIGM CORPORATION,0,0,617592
"UBIVAC, LLC",0,0,880637
"LIVERMORE INSTRUMENTS, INC.",0,0,295965
"ACTIVESITE PHARMACEUTICALS, INC.",0,0,699825
"BRONX-LEBANON HOSP CTR (BRONX, NY)",683276,132256,604491
NEW MEXICO STATE DEPT OF HUMAN SERVICES,168581,0,168581
"VISIONQUEST BIOMEDICAL, LLC",0,0,1327895
WAIANAE COAST COMPREHENSIVE HEALTH CTR,250000,36618,286618
LOYOLA MARYMOUNT UNIVERSITY,229971,73980,303951
"SCHNELLGEN, INC.",0,0,275219
"EUCLID DIAGNOSTICS, LLC",0,0,287585
UNIVERSITY OF OTAGO,213564,13631,227195
WOMEN AND INFANTS HOSPITAL-RHODE ISLAND,3743477,998107,4492464
"MAXWELL SENSORS, INC.",0,0,492274
"RHO FEDERAL SYSTEMS DIVISION, INC.",2499720,1474835,17537077
QUEEN'S MEDICAL CENTER,539660,192700,732360
"THINK NOW, INC.",0,0,747843
"BLUE SKY DESIGNS, INC.",0,0,395167
AG BELL ASSN FOR DEAF & HARD OF HEARING,100,0,100
"ANTIOP, INC.",0,0,1000000
URBAN INSTITUTE,276231,101297,402204
"PHYSICAL SCIENCES, INC",0,0,3060346
"JAEB CENTER FOR HEALTH RESEARCH, INC.",16771260,2087489,9001709
SEATTLE INST FOR BIOMEDICAL/CLINICAL RES,4847651,1204178,5851829
PACIFIC HEALTH RESEARCH/ EDUCATION INST,190246,75679,241373
NEW YORK-PRESBYTERIAN HOSPITAL,29897,0,29897
"EXTEND BIOSCIENCES, INC.",0,0,587950
NEMOURS CHILDREN'S CLINIC,883886,235965,1119851
"SAI INTERACTIVE, INC.",0,0,399920
"MICROBIOTIX, INC",1696270,606741,7324204
"ACUMEN, LLC",0,0,485700
BARCELONA INTERNATIONAL HEALTH RES CTR,527763,42221,569984
SOCIETY FOR THE STUDY OF REPRODUCTION,50000,0,50000
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,387224699,125547739,501656900
"NANOSYN, INC.",0,0,350000
"HEALTH DECISION TECHNOLOGIES, LLC",0,0,471018
"BIOFIRE DIAGNOSTICS, INC.",955703,477852,1733555
WESTERN INTERSTATE COMMISSION HIGHER ED,254814,18518,273332
"CYPRIS, LLC",0,0,266172
"AMERICAN ACADEMY OF AUDIOLOGY, INC.",31200,0,31200
KIZOOM LABS,0,0,249337
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,30100797,11309994,41341038
"AVALANCHE BIOTECHNOLOGIES, INC.",0,0,248555
SUFFOLK UNIVERSITY,32197,0,32197
"TARGESON, INC.",0,0,923775
NATIONAL JEWISH HEALTH,18897081,6654743,26427575
"MEDIKINE, INC.",0,0,239875
HUNTINGTON MEDICAL RESEARCH INSTITUTES,648448,334785,983233
"SYNZYME TECHNOLOGY, INC.",0,0,957098
HOSPI CORPORATION,0,0,149760
"VIRONIKA, LLC",0,0,91124
"IMMUNOMEDICS, INC.",0,0,1551985
WHITTEMORE PETERSON INSTITUTE,248749,35944,284693
TMLIVERPOOL SCHOOL OF TROPICAL MEDICINE,296605,23728,320333
"HUMACYTE, INC.",0,0,998367
"BIODEL, INC.",0,0,584770
PROFESSIONAL AND SCIENTIFIC ASSOCIATES,0,0,20000
CALIFORNIA STATE UNIV SAN BERNARDINO,1435768,342104,1754004
EUROPEAN ORG/RES/TREATMENT/CANCER,250025,0,250025
"WORKBOOK PUBLISHING, INC.",0,0,98761
"ROBIN MEDICAL, INC.",0,0,1042261
UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB,16865050,10251241,27116291
"NEW HEALTH SCIENCES, INC.",0,0,195127
"PHOENIX BIOSYSTEM, INC.",0,0,1355176
NEW YORK STRUCTURAL BIOLOGY CENTER,3822109,1099364,4921473
PHARMAIN CORPORATION,0,0,1239243
"MBIO DIAGNOSTICS, INC.",767637,168870,2408275
"NANODIAGNOSTIC TECHNOLOGY, LLC",0,0,99999
"FERRO SOLUTIONS, INC.",0,0,982283
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,25000,0,25000
"ENVIRONMENT AND HEALTH GROUP, INC.",0,0,582282
TEXAS TECH UNIVERSITY,931457,324914,1256371
"SUVICA, INC.",0,0,249672
HARVARD UNIVERSITY,35914540,16620633,51828312
"RADIX BIOSOLUTIONS, LTD",0,0,224502
PUBLIC HEALTH SOLUTIONS,799026,49882,848908
MEDICINES FOR MALARIA VENTURE,1036552,82924,1119476
"FARUS, LLC",0,0,635616
"CERAMIDE THERAPEUTICS, LLC",0,0,223891
SCIENCE MUSEUM OF MINNESOTA,317116,21741,338857
KEYSTONE SYMPOSIA,615984,22103,636012
UNIVERSITY OF BRITISH COLUMBIA,5352479,404510,5756989
ACADEMIC PEDIATRIC ASSOCIATION,132341,10587,142928
UNIVERSITY OF MONTANA,6280292,2172066,8452358
TULANE UNIVERSITY OF LOUISIANA,43479452,14672408,56847372
IBM THOMAS J. WATSON RESEARCH CENTER,322000,161649,483649
Q-TRACK CORPORATION,0,0,583240
UNIVERSITY OF PUERTO RICO RIO PIEDRAS,4640078,992508,5522645
"IMMERSIVETOUCH, INC.",0,0,452435
ALBANY STATE UNIVERSITY,1470467,330889,1455640
WADSWORTH CENTER,7199813,2282532,9988755
"MEDIOMICS, LLC",0,0,969770
"NEUROWAVE SYSTEMS, INC.",0,0,357616
"CALIFIA BIO, INC.",0,0,566811
"NETWORK BIOSYSTEMS, INC.",0,0,1000000
"MUZZY LANE SOFTWARE, INC.",0,0,306784
"ASTRAEA THERAPEUTICS, LLC",600391,102648,1000209
"DFH PHARMA, INC.",0,0,186374
"PROTEUS DIGITAL HEALTH, INC.",0,0,300000
"GENE THERAPY SYSTEMS, INC.",0,0,143253
"CURIRX, INC.",0,0,1000
UNIVERSITY OF NEW HAMPSHIRE,599395,121678,721073
COLLEGE OF ENVIRONMENTAL SCI & FORESTRY,225000,126000,351000
MEDGENE LABS,0,0,135356
"CADUCEUS WIRELESS, INC.",0,0,295543
ST. MARY'S UNIVERSITY,185418,10266,195684
JACKSON LABORATORY,31799365,19626219,50850165
STELLENBOSCH UNIVERSITY TYGERBERG CAMPUS,3881622,299610,2867822
AGA KHAN UNIVERSITY,335424,26834,360558
"IMBIO, LLC",0,0,294245
BLACKROCK MICROSYSTEMS,0,0,700000
UT SOUTHWESTERN MEDICAL CENTER,101337721,46068042,146038106
"ORGANIX, INC.",0,0,569079
HOUSEY PHARMACEUTICAL RESEARCH LAB,0,0,880003
"BUFFALO BIOLABS, LLC",0,0,179664
ANASYS INSTRUMENTS CORPORATION,0,0,151627
YORK COLLEGE,218302,135797,354099
"PRO-CHANGE BEHAVIOR SYSTEMS, INC.",0,0,1044889
"VENATORX PHARMACEUTICALS, INC.",0,0,7407697
"TRIPLE RING TECHNOLOGIES, INC.",0,0,577439
"SERPIN PHARMA, LLC",0,0,142970
"DXTERITY DIAGNOSTICS, INC.",0,0,280005
"VIRTUAL REALITY AIDS, INC.",0,0,1
"MINNEAPOLIS MEDICAL RESEARCH FDN, INC.",11524816,430138,13931885
"LUCERNA, INC.",0,0,211753
"ADVANCED PLASMA PRODUCTS, INC.",0,0,1111985
"ALGORITHMRX, LLC",0,0,199723
ONTARIO INSTITUTE FOR CANCER RESEARCH,1392320,105184,1346178
"AGILE SCIENCES, INC.",0,0,799586
NEW YORK EYE AND EAR INFIRMARY,268126,125294,393420
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,1243473,9661,1253134
PUGET SOUND BLOOD CENTER,1540308,1168967,2709275
UNIVERSITY OF SOUTHAMPTON,261312,20905,282217
"XORAN TECHNOLOGIES, INC.",0,0,901469
"SWEDISH MEDICAL CENTER, FIRST HILL",1002071,350577,1309133
"POLGENIX, INC.",0,0,834452
"PREMITEC, INC.",0,0,683516
PALO ALTO UNIVERSITY,219046,70413,289459
"SCIENTIFIC CONSULTING GROUP, INC.",0,0,982792
CHILDREN'S HOSP OF PHILADELPHIA,87482075,25084232,108503611
AXIOS BIOSCIENCES,0,0,288695
MICHIGAN PUBLIC HEALTH INSTITUTE,779095,52666,831761
"NANO TERRA, INC.",0,0,299948
UNIVERSITY OF IOWA,109123468,39798882,151386871
"NUTRABIOTIX, LLC",0,0,1281780
"CLINACUITY,INC.",0,0,277017
"HYPER TECH RESEARCH, INC.",0,0,636544
"ALPS SOUTH, LLC",0,0,150007
EMPIRE GENOMICS. LLC,0,0,142432
SAINT LOUIS UNIVERSITY,10026139,3861015,16231994
"RESEARCH CIRCLE ASSOCIATES, LLC",0,0,196601
"BERKELEY ANALYTICS, INC.",0,0,542313
NEW YORK UNIVERSITY,33450743,13435167,46070017
"BEST MEDICAL INTERNATIONAL, INC.",0,0,140000
CALIFORNIA STATE UNIVERSITY LOS ANGELES,3327503,595353,3922856
MAX PLANCK INST/SOCIAL LAW/SOCIAL POLICY,0,0,1218933
"STRETCHING CHARTS, INC.",0,0,183035
"VERACHEM, LLC",0,0,729882
"CHANTEST, INC.",0,0,552449
NEURONEXUS TECHNOLOGIES,0,0,1077098
UNIVERSITY OF MIAMI ROSENTEIL SCHOOL,333191,166596,499787
TACOMA GENERAL HOSPITAL,605973,68732,605178
TEMPEST TECHNOLOGIES,209250,72155,281405
OHIO UNIVERSITY ATHENS,1797277,632312,2429589
"ELECTRONIC BIOSCIENCES, INC.",0,0,838852
NORTH CAROLINA CENTRAL UNIVERSITY,3098020,1117852,3751012
"INSILIXA, INC.",0,0,299795
"OMM SCIENTIFIC, INC.",0,0,249997
"MOLECULAR EXPRESS, INC.",0,0,2196341
BIOMEDICAL ACOUSTICS RESEARCH COMPANY,0,0,136443
LOUISIANA STATE UNIV HSC SHREVEPORT,4657018,1637370,5882603
